,id,tweet,label
0,4285, order take money from national relief fund pmnrf congress president permission required that why care created,fake
1,611, july 2020 death than july 2019 despite pandemic,fake
2,1063, chloroquine not yet approved for treatment nigeria drinking salt ginger garlic water doe not prevent chinwe ochu afrs1077fm,real
3,2385, people within the health sector and care sector are course getting access testing and they have been prioritised pritipatel responds report that lack testing forcing some frontline staff miss work,real
4,5919, donald trump diagnosed with adtd attention deficit tweet disorder,fake
5,4289, thursday retail mall cafe restaurant cinema and other public space like playground and gym can reopen monday may school will reopen student this will give school some time prepare and communicate with parent,real
6,45, our daily update published state reported 586k test 28k case and 224 death,real
7,2736, say kitchen worker viral video potentially spreading coronavirus blowing into food container,fake
8,3772, pib india 2836925 total confirmed case 2096664 case cured recovered 32661252 sample tested here the…,real
9,5429, covid update today update lengthy been divided into two separate thread there one new case managed isolation the case woman her who arrived from the philippine the 8th august,real
10,3, president trump asked what would were catch the coronavirus,fake
11,3117, dcgi give nod bharat biotech conduct phase amp human clinical trial develop indigenous vaccine for covid,real
12,1940, cdcemergency you may spread even you not have symptom your health department tell you that you have been ex…,real
13,400, the governor sao paulo contracted covid after being vaccinated with the sinovac biotech vaccine,fake
14,5110, photo circulating facebook nigeria appears show president muhammadu buhari shaking hand with the nation code conduct bureau chairman mohammed isa while both men are wearing face mask seemingly against precaution during the novel coronavirus pandemic,fake
15,189, the remedy for the corona virus may have existed for long time 1934 old malaria drug seems work against coronavirus symptom made holland,fake
16,5668, some reporter visited the british prime minister boris johnson after recovered from his illness his home look like old abandoned military hut with very old brick wall the living room too small brought out the tea tray for the reporter all the cup are different met them with disheveled hair and casual clothes but with the confident smile prime minister,fake
17,2129, neighbor noia region galicia spain been infected with the coronavirus,fake
18,6358, video president donald trump and top pharmaceutical executive speaking press conference been viewed thousand time multiple facebook twitter and youtube post alongside claim that show them announcing vaccine for the novel coronavirus covid ready administered,fake
19,1440, pib india india set new record highest single day recovery 57584 nearly lakh test conducted one day the active…,real
20,959, icymi theatlantic broke down why daily death are down average percent from their april peak even with covid case rising,real
21,2935, france need test for population however paris sent test algeria,fake
