,id,tweet,label
0,4285, order take money national relief fund pmnrf congress president permission required care created,fake
1,611, july 2020 death july 2019 despite pandemic,fake
2,1063, chloroquine yet approved treatment nigeria drinking salt ginger garlic water prevent chinwe ochu afrs1077fm,real
3,2385, people within health sector care sector course getting access testing prioritised pritipatel responds report lack testing forcing frontline staff miss work,real
4,5919, donald trump diagnosed adtd attention deficit tweet disorder,fake
5,4289, thursday retail mall cafe restaurant cinema public space like playground gym reopen monday may school reopen student give school time prepare communicate parent,real
6,45, daily update published state reported 586k test 28k case 224 death,real
7,2736, say kitchen worker viral video potentially spreading coronavirus blowing food container,fake
8,3772, pib india 2836925 total confirmed case 2096664 case cured recovered 32661252 sample tested the…,real
9,5429, covid update today update lengthy divided two separate thread one new case managed isolation case woman arrived philippine 8th august,real
10,3, president trump asked would catch coronavirus,fake
11,3117, dcgi give nod bharat biotech conduct phase amp human clinical trial develop indigenous vaccine covid,real
12,1940, cdcemergency may spread even symptom health department tell ex…,real
13,400, governor sao paulo contracted covid vaccinated sinovac biotech vaccine,fake
14,5110, photo circulating facebook nigeria appears show president muhammadu buhari shaking hand nation code conduct bureau chairman mohammed isa men wearing face mask seemingly precaution novel coronavirus pandemic,fake
15,189, remedy corona virus may existed long time 1934 old malaria drug seems work coronavirus symptom made holland,fake
16,5668, reporter visited british prime minister boris johnson recovered illness home look like old abandoned military hut old brick wall living room small brought tea tray reporter cup different met disheveled hair casual clothes confident smile prime minister,fake
17,2129, neighbor noia region galicia spain infected coronavirus,fake
18,6358, video president donald trump top pharmaceutical executive speaking press conference viewed thousand time multiple facebook twitter youtube post alongside claim show announcing vaccine novel coronavirus covid ready administered,fake
19,1440, pib india india set new record highest single day recovery 57584 nearly lakh test conducted one day active…,real
20,959, icymi theatlantic broke daily death average percent april peak even covid case rising,real
21,2935, france need test population however paris sent test algeria,fake
22,1110, actor applauded macron visited suburban city pantin near paris video man front pacaembu stadium são paulo field hospital covid patient built claim since movement entrance one waiting get one inside either dean college biologist euskadi state lot pcr false positive asymptomatic spread coronavirus nagpur medical hospital kidney patient removed excuse made patient corona novel coronavirus sending economy freefall post list phone number job seeker call find work shared thousand time facebook instagram people italy threw away money lost family member coronavirus covid human made american biological weapon fish tank additive may treat coronavirus everyone dying coronavirus death due covid israel mix lemon baking soda tea combination kill coronavirus alleged tweet general heleno minister institutional security sort like ministry interior brazil say covid strong since president jair bolsonaro recovered easily bolsonaro always denied covid post say donald trump said march 17th people never died dying home vaccination coronavirus cuba picture show clothes died coronavirus china beijing shipping clothes africa american ceo drew indian map comparing population indian state country across world highlighting india indirectly handling covid crisis many country picture showing many hospital bed patient concentrated small area caption state public health like brazil 2016 medium never talked president barack obama waited six month call swine flu emergency thousand died men india railway minister demanding money helpless worker walking track doctor tijuana taking nap floor hospital photo mannequin wheeled hospital show covid coverup four people died zanzibar handling chicken infected covid post say one died coronavirus united state video showing muslim man throwing note spread coronavirus industrialist ratan tata view economic downfall due covid hold breath second fibrosis therefore infection picture text english describing method hydroxychloroquine cure virus happens treatment used radiation sickness senegalese doctor say chloroquine secret low number death covid senegal medical report hospital general universitario santa lucía cartagena murcia person possible coronavirus nba asking president donald trump resign never play image critically ill covid infected woman hugging child last time death every election year disease sars 2004 avian flu 2008 swine flu 2010 mers 2012 ebola 2014 2018 zika 2016 coronavirus 2020 detail three coronavirus positive case reported kothapet hyderabad india social medium group admins requested close group two day joão doria governor são paulo caught covid isolated also took chinese vaccine tested brazil instagram post claim microsoft founder bill gate said 700000 people could die covid vaccine priyanka gandhi started bus help migrant travel covid lockdown claim made india found cure coronavirus saddam hussein talked coronavirus cabinet army ninety said america threatened spread virus follow command photo shared hundred time facebook twitter alongside claim show nurse apologising muslim man blamed muslim community spreading covid india post claim nurse forced apologise local politician document talk benefit wine prevent coronavirus pregnant woman must undergo caesarean section pandemic citizen entitled 700 usd per week stay home avoid spread covid novel coronavirus starting picture quote attributed bill gate stating vaccine safe let get quickly anyway worry consequence later,fake
23,2030, new york hospital reporting fungal lung infection face mask wear slow spread covid,fake
24,238, video purport show police officer beaten viewed ten thousand time facebook twitter alongside claim assault temple india sparked officer attempt enforce nationwide novel coronavirus lockdown,fake
25,6221, broomeinwelly david please let ministry health know phoning 0800 800 606 emailing tracingapp feedback health govt,real
26,4804, man dying coronavirus spends final day negotiating health insurance provider,fake
27,3405, hhsgov continue social distancing wearing washing hand frequently help protect others around,real
28,611, india first crispr test approved use india tata group csir ind institute genomics amp integrative biology indigenously developed crispr technology detection genomic sequence virus detail,real
29,1038, shaskell12 yeah believe see evidence system capacity especially test coming back positive alexismadrigal,real
30,1539, coronavirus excess death could hit peak level november without action,real
31,3219, northern ireland first minister arlene foster say new restriction tough country known hospitality say kindness host attend large gathering moment said adding winner would covid,real
32,486, democrat pushing implanted microchip human everyone vaccinated,fake
33,2893, drinking hot water tea kill new coronavirus resist heat,fake
34,962, breakdown case state real time please see currently lagos fct ogun ekiti oyo edo bauchi osun river total confirmed case,real
35,1053, image doctor found cure coronavirus,fake
36,260, know strong weekend effect hit sunday monday especially reporting covid death sunday highlighted red,real
37,4930, governor brazilian state bahia dismissed doctor appealed president jair bolsonaro chloroquine,fake
38,895, vaccine deal work candidate producer say union health minister drharshvardhan interview htdelhi pmoindia pib india ddnewslive airnewsalerts icmrdelhi covidnewsbymib covidindiaseva mygovindia,real
39,157, also like call attention incredible job florida healthyfla releasing data provide hospitalization rate lab lab testing result ton data,real
40,271, prince andrew officiate grand reopening woking pizza express,fake
41,1268, state wise detail total confirmed case till september 2020 ➡️states 10000 confirmed case ➡️states 10001 100000 confirmed case ➡️states 100000 confirmed case ➡️total confirmed case far,real
42,2132, extraordinary circumstance caused taken account complaint doctor gmc announced,real
43,4240, thread ncdc aware recent outcome government funded clinical trial covid result support use dexamethsaone possible treatment reduce risk death among covid patient require oxygen mechanical ventilation,real
44,2435, enough monkey vaccine testing china halted export,real
45,4472, state thing note report new case today,real
46,401, highlight new nationwide measure follows overnight curfew 8pm 6am mean movement prohibited period except essential service,real
47,2319, yesterday laboratory completed 9178 test bringing total number test completed date 387435 includes testing managed isolation facility community based testing across country,real
48,1443, 9th may announced discharged case amp death fct due system error discharged case death wrongly announced therefore fct recorded discharged case amp death may 2020 apologise officialfcta error,real
49,617, bigger average testing day newly reported case 25k today,real
50,3790, social medium rumor claim google apple put covid tracker every phone whole story technology aimed helping contact tracer slow spread coronavirus must opt feature,fake
51,4867, nation including usa want narendramodi leader task force corona proud moment india let support great leader definitely win war corona,fake
52,1730, 594 new case lagos 159 delta 106 ondo fct edo oyo kaduna enugu katsina imo adamawa ogun osun abia river nasarawa bauchi niger kebbi ekiti plateau taraba 22614 confirmed 7822 discharged 549 death,real
53,2094, case covid area johnshopkins aei recommend government sure covid case decreasing area least week reopening,real
54,1849, different vaccine undergoing clinical trial russia 500th person tested gam covid vac,fake
55,6231, multiple study said decade mask work virus,fake
56,5203, setting realistic expectation patient chronic condition key,real
57,6288, may 10x much coronavirus reported,real
58,1420, 648 new case lagos 180 plateau 148 fct ondo kwara river oyo kaduna osun edo ogun ekiti kano benue delta abia niger gombe borno bauchi imo 41180 confirmed 18203 discharged 860 death,real
59,5418, photo covid infected god treated hindu priest india,fake
60,4987, tanzania developed coronavirus drug called covidol cure covid,fake
61,1399, think increasing rate corona month july depends today action reflect tomorrow today well stand tomorrow health important exam,fake
62,1265, factchecknet like wash hand fight scrub chat contain guidelines…,fake
63,5411, female covid patient may produce antibody virus male patient according peer reviewed study journal medical virology study potentially explains female generally severe symptom,real
64,2640, cdcdirector take step keep friend family safe visiting higher risk severe illness learn…,real
65,6283, clemson university devastated mascot test positive,fake
66,6118, previously reported case considered recovered total number active case new zealand 129 imported case quarantine brings total number confirmed case 1339 report world health organization,real
67,3860, hhsgov recovered confirmed positive test please donate plasma literally help save life,real
68,435, drharshvardhan update 👉the total recovered case stand 3859399 👉the gap recovered case amp active case has…,real
69,6257, fed million mask contract shady man sanction ftc,real
70,4110, one died covid paulo august august,fake
71,6034, video president donald trump top pharmaceutical executive speaking press conference viewed thousand time multiple facebook twitter youtube post alongside claim show announcing vaccine novel coronavirus covid ready administered,fake
72,4559, almost two thousand people died already united state according tracking 435 new death reported last hour,real
73,1809, evidence american covid vaccine killed ukrainian claim come site known disinformation,fake
74,416, covid patinet kanpur india left outside hopsital without treatment,fake
75,5939, quote joe biden saying people never died dying coronavirus,fake
76,194, new recovered case reported ten state viz maharashtra karnataka andhra pradesh uttar pradesh tamil nadu odisha delhi kerala west bengal punjab detail,real
77,1842, new cdcmmwr report show young previously healthy adult take long time recover study found nearly adult age milder outpatient covid returned usual health day,real
78,2153, case need tested day day coming contact study researcher john hopkins bloomberg school public health john hopkins school medicine national institute allergy amp infectious disease say based,real
79,1719, 📢disregard message beneficiary fund account credited ncdc also ncdc sending letter employment amp never request payment return employment offer share verified information,real
80,5597, mitch mcconnell say senate vote coronavirus stimulus plan soon week,fake
81,2830, help stop pandemic report march impact intervention mortality healthcare demand adapted amazing sjforkids science journal teen article 🔰read full article,real
82,5759, clarification covid tracer figure number manual entry per day day average 16151 number manual entry total 137385,real
83,1755, random facebook post renowned guru keep making self test recommendation,fake
84,3686, upon hearing news two woman tested positive two friend isolated tested one returned negative test one result pending,real
85,5004, roberto gazolla covid reference hospital rio janeiro brazil empty photo prove one area open public like entrance hall,fake
86,2811, gap recovered case active case progressively growing wide total case 36l recovered amp discharged active case small proportion total case,real
87,2463, least every person year old died nigeria please today protect loved one elderly around society covid real,real
